date,2020,2019,2018
01-mars ,1766,1872,2136
02-mars ,3540,3782,4327
03-mars ,5296,5530,6455
04-mars ,7087,7410,8545
05-mars ,8843,9278,10746
06-mars ,10669,11148,12904
07-mars ,12343,13007,14959
08-mars ,14031,14808,17066
09-mars ,15829,16581,19115
10-mars ,17628,18248,21201
11-mars ,19492,20014,23143
12-mars ,21256,21720,25190
13-mars ,23025,23411,27170
14-mars ,24765,25129,29097
15-mars ,26595,26874,30995
16-mars ,28572,28594,32902
17-mars ,30583,30229,34742
18-mars ,32564,31986,36533
19-mars ,34637,33670,38356
20-mars ,36633,35331,40147
21-mars ,38528,37032,42049
22-mars ,40506,38720,43941
23-mars ,42598,40418,45767
24-mars ,44690,42046,47652
25-mars ,46950,43711,49469
26-mars ,49267,45336,51322
27-mars ,51591,47022,53182
28-mars ,53977,48712,55009
29-mars ,56253,50375,56836
30-mars ,58820,52012,58641
31-mars ,61404,53630,60407
01-avr.,64009,55319,62189
02-avr. ,66478,57020,63904
03-avr. ,69003,58706,65755
04-avr. ,71448,60374,67510
05-avr. ,73845,62037,69272
06-avr. ,76246,63686,71003
07-avr. ,,65361,72743
08-avr. ,,67025,74459
09-avr. ,,68647,76194
10-avr. ,,70314,77998
11-avr. ,,71921,79704
12-avr. ,,73544,81438
13-avr. ,,75100,83108
14-avr. ,,76619,84724
15-avr. ,,78242,86391
16-avr. ,,79909,88083
17-avr. ,,81636,89725
18-avr. ,,83250,91373
19-avr. ,,84929,93119
20-avr. ,,86606,94881
21-avr. ,,88171,96636
22-avr. ,,89830,98214
23-avr. ,,91515,99815
24-avr. ,,93258,101419
25-avr. ,,94901,102996
26-avr. ,,96521,104553
27-avr. ,,98083,106122
28-avr. ,,99672,107705
29-avr. ,,101226,109279
30-avr. ,,102784,110841
