"Deaths registered weekly, by sex and age"
"Topic: |Deaths"
""
"Age, 31 December";"Total";"Total";"Total";"0 to 64 years";"0 to 64 years";"0 to 64 years";"65 to 79 years";"65 to 79 years";"65 to 79 years";"80 years or older";"80 years or older";"80 years or older"
"Sex";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female"
"Periods";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"1995 week 0 (1 day)";"394";"200";"194";"62";"38";"24";"136";"75";"61";"196";"87";"109"
"1995 week 1";"2719";"1325";"1394";"476";"283";"193";"901";"546";"355";"1342";"496";"846"
"1995 week 2";"2823";"1393";"1430";"511";"305";"206";"955";"570";"385";"1357";"518";"839"
"1995 week 3";"2609";"1279";"1330";"473";"282";"191";"888";"540";"348";"1248";"457";"791"
"1995 week 4";"2664";"1366";"1298";"513";"334";"179";"880";"543";"337";"1271";"489";"782"
"1995 week 5";"2577";"1341";"1236";"484";"316";"168";"874";"539";"335";"1219";"486";"733"
"1995 week 6";"2536";"1248";"1288";"464";"294";"170";"879";"506";"373";"1193";"448";"745"
"1995 week 7";"2551";"1300";"1251";"503";"308";"195";"888";"556";"332";"1160";"436";"724"
"1995 week 8";"2510";"1268";"1242";"481";"310";"171";"838";"520";"318";"1191";"438";"753"
"1995 week 9";"2490";"1263";"1227";"491";"318";"173";"852";"517";"335";"1147";"428";"719"
"1995 week 10";"2770";"1394";"1376";"513";"306";"207";"986";"604";"382";"1271";"484";"787"
"1995 week 11";"2800";"1396";"1404";"486";"302";"184";"980";"600";"380";"1334";"494";"840"
"1995 week 12";"2786";"1394";"1392";"516";"328";"188";"958";"578";"380";"1312";"488";"824"
"1995 week 13";"2634";"1348";"1286";"498";"330";"168";"923";"547";"376";"1213";"471";"742"
"1995 week 14";"2717";"1355";"1362";"492";"317";"175";"901";"531";"370";"1324";"507";"817"
"1995 week 15";"2645";"1383";"1262";"499";"320";"179";"970";"584";"386";"1176";"479";"697"
"1995 week 16";"2691";"1338";"1353";"508";"329";"179";"937";"548";"389";"1246";"461";"785"
"1995 week 17";"2645";"1317";"1328";"488";"308";"180";"906";"539";"367";"1251";"470";"781"
"1995 week 18";"2628";"1338";"1290";"508";"322";"186";"928";"559";"369";"1192";"457";"735"
"1995 week 19";"2486";"1270";"1216";"528";"338";"190";"869";"514";"355";"1089";"418";"671"
"1995 week 20";"2482";"1247";"1235";"463";"288";"175";"893";"534";"359";"1126";"425";"701"
"1995 week 21";"2468";"1223";"1245";"492";"277";"215";"877";"531";"346";"1099";"415";"684"
"1995 week 22";"2485";"1259";"1226";"514";"333";"181";"895";"528";"367";"1076";"398";"678"
"1995 week 23";"2319";"1180";"1139";"485";"307";"178";"810";"489";"321";"1024";"384";"640"
"1995 week 24";"2352";"1207";"1145";"435";"266";"169";"859";"521";"338";"1058";"420";"638"
"1995 week 25";"2498";"1271";"1227";"477";"296";"181";"850";"522";"328";"1171";"453";"718"
"1995 week 26";"2663";"1302";"1361";"511";"310";"201";"924";"526";"398";"1228";"466";"762"
"1995 week 27";"2489";"1248";"1241";"522";"335";"187";"873";"528";"345";"1094";"385";"709"
"1995 week 28";"2808";"1343";"1465";"517";"325";"192";"931";"543";"388";"1360";"475";"885"
"1995 week 29";"2451";"1227";"1224";"480";"301";"179";"878";"542";"336";"1093";"384";"709"
"1995 week 30";"2466";"1226";"1240";"512";"323";"189";"841";"503";"338";"1113";"400";"713"
"1995 week 31";"2744";"1310";"1434";"527";"309";"218";"889";"523";"366";"1328";"478";"850"
"1995 week 32";"2473";"1214";"1259";"504";"324";"180";"871";"500";"371";"1098";"390";"708"
"1995 week 33";"2380";"1171";"1209";"466";"283";"183";"848";"515";"333";"1066";"373";"693"
"1995 week 34";"2427";"1231";"1196";"508";"319";"189";"851";"524";"327";"1068";"388";"680"
"1995 week 35";"2278";"1170";"1108";"472";"293";"179";"793";"500";"293";"1013";"377";"636"
"1995 week 36";"2362";"1176";"1186";"512";"327";"185";"819";"476";"343";"1031";"373";"658"
"1995 week 37";"2348";"1204";"1144";"500";"321";"179";"846";"520";"326";"1002";"363";"639"
"1995 week 38";"2437";"1242";"1195";"479";"299";"180";"956";"564";"392";"1002";"379";"623"
"1995 week 39";"2366";"1223";"1143";"508";"315";"193";"838";"507";"331";"1020";"401";"619"
"1995 week 40";"2525";"1302";"1223";"496";"310";"186";"931";"565";"366";"1098";"427";"671"
"1995 week 41";"2600";"1349";"1251";"526";"340";"186";"920";"552";"368";"1154";"457";"697"
"1995 week 42";"2417";"1221";"1196";"496";"323";"173";"895";"519";"376";"1026";"379";"647"
"1995 week 43";"2455";"1223";"1232";"503";"317";"186";"891";"518";"373";"1061";"388";"673"
"1995 week 44";"2573";"1308";"1265";"549";"355";"194";"958";"558";"400";"1066";"395";"671"
