Periods,aantal,year,week,special,deaths
1995 week 1,2719.0,1995,1,,2719.0
1995 week 2,2823.0,1995,2,,2823.0
1995 week 3,2609.0,1995,3,,2609.0
1995 week 4,2664.0,1995,4,,2664.0
1995 week 5,2577.0,1995,5,,2577.0
1995 week 6,2536.0,1995,6,,2536.0
1995 week 7,2551.0,1995,7,,2551.0
1995 week 8,2510.0,1995,8,,2510.0
1995 week 9,2490.0,1995,9,,2490.0
1995 week 10,2770.0,1995,10,,2770.0
1995 week 11,2800.0,1995,11,,2800.0
1995 week 12,2786.0,1995,12,,2786.0
1995 week 13,2634.0,1995,13,,2634.0
1995 week 14,2717.0,1995,14,,2717.0
1995 week 15,2645.0,1995,15,,2645.0
1995 week 16,2691.0,1995,16,,2691.0
1995 week 17,2645.0,1995,17,,2645.0
1995 week 18,2628.0,1995,18,,2628.0
1995 week 19,2486.0,1995,19,,2486.0
1995 week 20,2482.0,1995,20,,2482.0
1995 week 21,2468.0,1995,21,,2468.0
1995 week 22,2485.0,1995,22,,2485.0
1995 week 23,2319.0,1995,23,,2319.0
1995 week 24,2352.0,1995,24,,2352.0
1995 week 25,2498.0,1995,25,,2498.0
1995 week 26,2663.0,1995,26,,2663.0
1995 week 27,2489.0,1995,27,,2489.0
1995 week 28,2808.0,1995,28,,2808.0
1995 week 29,2451.0,1995,29,,2451.0
1995 week 30,2466.0,1995,30,,2466.0
1995 week 31,2744.0,1995,31,,2744.0
1995 week 32,2473.0,1995,32,,2473.0
1995 week 33,2380.0,1995,33,,2380.0
1995 week 34,2427.0,1995,34,,2427.0
1995 week 35,2278.0,1995,35,,2278.0
1995 week 36,2362.0,1995,36,,2362.0
1995 week 37,2348.0,1995,37,,2348.0
1995 week 38,2437.0,1995,38,,2437.0
1995 week 39,2366.0,1995,39,,2366.0
1995 week 40,2525.0,1995,40,,2525.0
1995 week 41,2600.0,1995,41,,2600.0
1995 week 42,2417.0,1995,42,,2417.0
1995 week 43,2455.0,1995,43,,2455.0
1995 week 44,2573.0,1995,44,,2573.0
1995 week 45,2533.0,1995,45,,2533.0
1995 week 46,2691.0,1995,46,,2691.0
1995 week 47,2613.0,1995,47,,2613.0
1995 week 48,2646.0,1995,48,,2646.0
1995 week 49,2826.0,1995,49,,2826.0
1995 week 50,3098.0,1995,50,,3098.0
1995 week 51,3291.0,1995,51,,3291.0
1995 week 52,3436.0,1995,52,,3436.0
1996 week 1,3546.0,1996,1,,3546.0
1996 week 2,3257.0,1996,2,,3257.0
1996 week 3,2970.0,1996,3,,2970.0
1996 week 4,2855.0,1996,4,,2855.0
1996 week 5,2992.0,1996,5,,2992.0
1996 week 6,3089.0,1996,6,,3089.0
1996 week 7,3046.0,1996,7,,3046.0
1996 week 8,2887.0,1996,8,,2887.0
1996 week 9,2878.0,1996,9,,2878.0
1996 week 10,2714.0,1996,10,,2714.0
1996 week 11,2807.0,1996,11,,2807.0
1996 week 12,2784.0,1996,12,,2784.0
1996 week 13,2727.0,1996,13,,2727.0
1996 week 14,2765.0,1996,14,,2765.0
1996 week 15,2642.0,1996,15,,2642.0
1996 week 16,2856.0,1996,16,,2856.0
1996 week 17,2703.0,1996,17,,2703.0
1996 week 18,2498.0,1996,18,,2498.0
1996 week 19,2519.0,1996,19,,2519.0
1996 week 20,2598.0,1996,20,,2598.0
1996 week 21,2514.0,1996,21,,2514.0
1996 week 22,2523.0,1996,22,,2523.0
1996 week 23,2752.0,1996,23,,2752.0
1996 week 24,2506.0,1996,24,,2506.0
1996 week 25,2366.0,1996,25,,2366.0
1996 week 26,2376.0,1996,26,,2376.0
1996 week 27,2433.0,1996,27,,2433.0
1996 week 28,2490.0,1996,28,,2490.0
1996 week 29,2467.0,1996,29,,2467.0
1996 week 30,2500.0,1996,30,,2500.0
1996 week 31,2285.0,1996,31,,2285.0
1996 week 32,2449.0,1996,32,,2449.0
1996 week 33,2357.0,1996,33,,2357.0
1996 week 34,2364.0,1996,34,,2364.0
1996 week 35,2273.0,1996,35,,2273.0
1996 week 36,2150.0,1996,36,,2150.0
1996 week 37,2275.0,1996,37,,2275.0
1996 week 38,2523.0,1996,38,,2523.0
1996 week 39,2582.0,1996,39,,2582.0
1996 week 40,2467.0,1996,40,,2467.0
1996 week 41,2417.0,1996,41,,2417.0
1996 week 42,2377.0,1996,42,,2377.0
1996 week 43,2465.0,1996,43,,2465.0
1996 week 44,2404.0,1996,44,,2404.0
1996 week 45,2513.0,1996,45,,2513.0
1996 week 46,2537.0,1996,46,,2537.0
1996 week 47,2636.0,1996,47,,2636.0
1996 week 48,2591.0,1996,48,,2591.0
1996 week 49,2604.0,1996,49,,2604.0
1996 week 50,2708.0,1996,50,,2708.0
1996 week 51,2773.0,1996,51,,2773.0
1996 week 52,2893.0,1996,52,,2893.0
