Endend;Alter;Woche;untGrenze;Erwartung;obeGrenze;hochrechnung
05.01.2020;0-64;1;135;169;202;145
12.01.2020;0-64;2;136;170;203;165
19.01.2020;0-64;3;137;170;204;181
26.01.2020;0-64;4;138;171;205;178
02.02.2020;0-64;5;138;172;206;159
09.02.2020;0-64;6;139;173;206;184
16.02.2020;0-64;7;139;173;207;161
23.02.2020;0-64;8;138;172;206;177
01.03.2020;0-64;9;137;171;205;166
08.03.2020;0-64;10;136;169;203;161.6
15.03.2020;0-64;11;134;167;201;154.8
22.03.2020;0-64;12;131;165;198;176.8
29.03.2020;0-64;13;129;162;195;203
05.04.2020;0-64;14;127;160;192;175.2
12.04.2020;0-64;15;126;159;191;
19.04.2020;0-64;16;125;157;190;
26.04.2020;0-64;17;125;157;189;
03.05.2020;0-64;18;124;156;189;
10.05.2020;0-64;19;124;156;188;
17.05.2020;0-64;20;124;156;188;
24.05.2020;0-64;21;124;157;189;
31.05.2020;0-64;22;125;157;189;
07.06.2020;0-64;23;125;157;190;
14.06.2020;0-64;24;125;157;190;
21.06.2020;0-64;25;125;157;189;
28.06.2020;0-64;26;124;157;189;
05.07.2020;0-64;27;124;156;189;
12.07.2020;0-64;28;124;156;188;
19.07.2020;0-64;29;124;156;188;
26.07.2020;0-64;30;123;155;187;
02.08.2020;0-64;31;123;155;187;
09.08.2020;0-64;32;123;155;187;
16.08.2020;0-64;33;123;155;187;
23.08.2020;0-64;34;123;155;187;
30.08.2020;0-64;35;124;156;188;
06.09.2020;0-64;36;124;156;189;
13.09.2020;0-64;37;125;157;189;
20.09.2020;0-64;38;125;157;189;
27.09.2020;0-64;39;125;157;190;
04.10.2020;0-64;40;125;158;190;
11.10.2020;0-64;41;126;158;191;
18.10.2020;0-64;42;126;159;191;
25.10.2020;0-64;43;127;159;192;
01.11.2020;0-64;44;127;160;192;
08.11.2020;0-64;45;128;160;193;
15.11.2020;0-64;46;128;161;193;
22.11.2020;0-64;47;129;161;194;
29.11.2020;0-64;48;129;161;194;
06.12.2020;0-64;49;129;161;194;
13.12.2020;0-64;50;129;161;194;
20.12.2020;0-64;51;128;161;194;
27.12.2020;0-64;52;128;161;193;
03.01.2021;0-64;53;128;161;193;
05.01.2020;65+;1;1150;1241;1332;1151
12.01.2020;65+;2;1158;1249;1340;1182
19.01.2020;65+;3;1166;1258;1349;1204
26.01.2020;65+;4;1174;1266;1357;1213
02.02.2020;65+;5;1181;1273;1365;1244
09.02.2020;65+;6;1188;1281;1373;1176
16.02.2020;65+;7;1189;1281;1373;1191
23.02.2020;65+;8;1180;1272;1363;1151
01.03.2020;65+;9;1170;1262;1353;1133
08.03.2020;65+;10;1151;1241;1332;1157.9
15.03.2020;65+;11;1131;1221;1311;1223.9
22.03.2020;65+;12;1108;1198;1287;1315.6
29.03.2020;65+;13;1086;1174;1262;1404.3
05.04.2020;65+;14;1065;1153;1240;1651.6
12.04.2020;65+;15;1047;1133;1220;
19.04.2020;65+;16;1028;1114;1200;
26.04.2020;65+;17;1010;1096;1181;
03.05.2020;65+;18;993;1077;1162;
10.05.2020;65+;19;979;1063;1147;
17.05.2020;65+;20;965;1048;1131;
24.05.2020;65+;21;954;1037;1120;
31.05.2020;65+;22;948;1031;1114;
07.06.2020;65+;23;943;1026;1108;
14.06.2020;65+;24;943;1025;1108;
21.06.2020;65+;25;945;1028;1111;
28.06.2020;65+;26;948;1031;1114;
05.07.2020;65+;27;954;1037;1120;
12.07.2020;65+;28;955;1038;1121;
19.07.2020;65+;29;956;1039;1122;
26.07.2020;65+;30;955;1038;1121;
02.08.2020;65+;31;954;1037;1120;
09.08.2020;65+;32;954;1037;1120;
16.08.2020;65+;33;953;1036;1119;
23.08.2020;65+;34;955;1038;1121;
30.08.2020;65+;35;962;1045;1129;
06.09.2020;65+;36;969;1053;1137;
13.09.2020;65+;37;979;1063;1147;
20.09.2020;65+;38;988;1072;1157;
27.09.2020;65+;39;997;1082;1167;
04.10.2020;65+;40;1008;1093;1178;
11.10.2020;65+;41;1017;1102;1188;
18.10.2020;65+;42;1026;1112;1197;
25.10.2020;65+;43;1030;1117;1203;
01.11.2020;65+;44;1035;1122;1208;
08.11.2020;65+;45;1045;1131;1218;
15.11.2020;65+;46;1054;1141;1228;
22.11.2020;65+;47;1063;1151;1238;
29.11.2020;65+;48;1075;1162;1250;
06.12.2020;65+;49;1086;1174;1262;
13.12.2020;65+;50;1098;1187;1276;
20.12.2020;65+;51;1110;1199;1288;
27.12.2020;65+;52;1122;1212;1301;
03.01.2021;65+;53;1134;1224;1314;
