week,week_ended,total_deaths_all_ages,total_deaths_avg_corresponding_5,respitory_deaths,north_east,north_west,yorkshire_and_the_humber,east_midlands,west_midlands,east,london,south_east,south_west,wales
1,2014-01-03 00:00:00,11448,12328,:,554,1581,1139,952,1212,1164,1129,1739,1208,751
2,2014-01-10 00:00:00,11847,12938.8,1783,615,1549,1151,989,1304,1297,1103,1897,1187,725
3,2014-01-17 00:00:00,11061,11586.4,1676,547,1520,1077,894,1181,1183,962,1732,1235,690
4,2014-01-24 00:00:00,10374,11115.4,1512,573,1377,1058,872,1084,1076,982,1589,1118,604
5,2014-01-31 00:00:00,10258,10710.4,1492,550,1385,1020,869,1114,1057,967,1603,1053,622
6,2014-02-07 00:00:00,10147,10363.4,1418,537,1431,976,839,1039,1121,941,1517,1055,655
7,2014-02-14 00:00:00,10198,10455.8,1442,538,1453,999,862,1105,1081,952,1497,1095,590
8,2014-02-21 00:00:00,10427,10410.6,1607,590,1408,1016,864,1024,1118,950,1629,1128,681
9,2014-02-28 00:00:00,10377,10207.6,1519,526,1428,983,912,1098,1115,982,1608,1071,621
10,2014-03-07 00:00:00,9828,10173.8,1497,536,1342,962,801,1049,1042,949,1495,1026,605
11,2014-03-14 00:00:00,10005,10102,1412,522,1400,1000,872,998,1005,985,1487,1086,617
12,2014-03-21 00:00:00,9832,9905.8,1312,516,1312,959,833,1057,997,953,1580,1000,607
13,2014-03-28 00:00:00,9622,9121,1296,516,1352,896,836,964,1040,937,1466,978,604
14,2014-04-04 00:00:00,9944,9639.4,1363,562,1354,940,851,1024,1100,969,1484,1018,626
15,2014-04-11 00:00:00,9504,9940.6,1320,502,1279,921,772,1000,985,884,1510,1039,589
16,2014-04-18 00:00:00,8000,9999.8,1042,443,1078,775,654,862,876,727,1188,855,527
17,2014-04-25 00:00:00,9359,9610.4,1279,458,1348,919,818,919,950,910,1441,945,634
18,2014-05-02 00:00:00,10527,9519.8,1434,589,1367,1049,832,1081,1095,975,1670,1159,686
19,2014-05-09 00:00:00,8613,9122.6,1165,456,1163,835,752,860,951,810,1312,944,515
20,2014-05-16 00:00:00,9513,9395,1185,482,1235,960,793,1002,1051,887,1511,988,576
21,2014-05-23 00:00:00,9313,9367.2,1190,505,1276,898,745,919,912,946,1416,1066,602
22,2014-05-30 00:00:00,8034,8472.6,1049,465,1158,791,686,748,775,804,1261,807,514
23,2014-06-06 00:00:00,9557,8762.4,1211,463,1263,925,826,997,1064,890,1536,979,588
24,2014-06-13 00:00:00,9414,9046,1150,471,1282,888,792,982,961,869,1522,1045,574
25,2014-06-20 00:00:00,8946,8771.6,1033,485,1241,826,794,893,1010,825,1341,957,552
26,2014-06-27 00:00:00,8931,8711.6,1162,505,1201,904,774,927,955,839,1314,946,541
27,2014-07-04 00:00:00,8763,8742.4,1032,451,1189,906,748,898,898,807,1391,886,568
28,2014-07-11 00:00:00,8784,8513,1038,487,1235,829,771,848,1013,804,1311,912,551
29,2014-07-18 00:00:00,9119,8510,1042,514,1242,905,789,927,933,826,1419,930,601
30,2014-07-25 00:00:00,8965,8490.8,1066,477,1220,806,719,897,1006,884,1381,961,590
31,2014-08-01 00:00:00,8916,8521.4,1051,482,1176,870,705,939,970,875,1399,930,545
32,2014-08-08 00:00:00,8755,8481.8,1023,440,1179,854,720,954,917,836,1360,923,545
33,2014-08-15 00:00:00,8792,8512.6,1018,505,1174,862,761,865,943,836,1338,956,526
34,2014-08-22 00:00:00,8769,8605,924,497,1220,877,777,885,920,847,1277,911,526
35,2014-08-29 00:00:00,8027,7795.4,979,468,1149,831,623,824,809,717,1220,848,515
36,2014-09-05 00:00:00,9671,8628.4,1139,530,1299,1003,745,1026,1054,923,1467,1012,582
37,2014-09-12 00:00:00,9284,8603,1082,487,1229,899,762,963,999,893,1448,1004,562
38,2014-09-19 00:00:00,9107,8663,1051,505,1241,901,747,962,968,873,1315,1005,568
39,2014-09-26 00:00:00,9048,8911.2,1080,525,1171,897,736,941,983,832,1431,936,571
40,2014-10-03 00:00:00,9271,8976,1075,525,1261,888,769,969,989,871,1435,967,569
41,2014-10-10 00:00:00,9173,9056.2,1069,568,1187,891,809,975,983,804,1396,958,556
42,2014-10-17 00:00:00,9464,9136.4,1091,498,1290,979,785,920,1023,869,1397,1039,627
43,2014-10-24 00:00:00,9603,9321,1203,472,1259,937,775,1014,1024,893,1525,1010,670
44,2014-10-31 00:00:00,9586,9439.2,1180,496,1300,940,782,974,950,1016,1399,1030,673
45,2014-11-07 00:00:00,9753,9414.4,1244,488,1290,960,856,992,1118,884,1541,1020,573
46,2014-11-14 00:00:00,10036,9535.6,1277,523,1395,948,833,1054,1095,973,1571,1024,592
47,2014-11-21 00:00:00,9472,9492.4,1135,471,1261,949,802,963,992,860,1521,999,612
48,2014-11-28 00:00:00,9928,9398.8,1213,517,1330,982,804,1025,1056,995,1578,988,622
49,2014-12-05 00:00:00,10267,10111.8,1463,520,1443,1018,797,1034,1128,1001,1573,1080,650
50,2014-12-12 00:00:00,10550,10323.6,1552,575,1475,1069,899,1065,1080,1016,1541,1076,731
51,2014-12-19 00:00:00,11681,10886.4,1950,633,1591,1176,1003,1204,1215,1139,1707,1266,723
52,2014-12-26 00:00:00,7837,8310,1366,438,1101,833,660,743,804,773,1155,812,503
