week,week_ended,total_deaths_all_ages,total_deaths_avg_corresponding_5,respitory_deaths,north_east,north_west,yorkshire_and_the_humber,east_midlands,west_midlands,east,london,south_east,south_west,wales
1,2020-01-03 00:00:00,12254,12175,2141,673,1806,1240,1060,1349,1162,1113,1814,1225,787
2,2020-01-10 00:00:00,14058,13822,2477,707,1932,1339,1195,1450,1573,1272,2132,1487,939
3,2020-01-17 00:00:00,12990,13216,2188,647,1696,1278,1106,1407,1457,1073,2064,1466,767
4,2020-01-24 00:00:00,11856,12760,1893,612,1529,1187,1024,1231,1410,1028,1833,1253,723
5,2020-01-31 00:00:00,11612,12206,1746,561,1461,1136,1015,1262,1286,1092,1820,1233,727
6,2020-02-07 00:00:00,10986,11925,1572,564,1529,1072,922,1052,1259,987,1729,1157,690
7,2020-02-14 00:00:00,10944,11627,1602,573,1427,1059,976,1159,1172,967,1688,1169,728
8,2020-02-21 00:00:00,10841,11548,1619,539,1477,1087,924,1116,1167,1032,1675,1118,679
9,2020-02-28 00:00:00,10816,11183,1546,572,1476,1078,919,1174,1115,1085,1587,1133,651
10,2020-03-06 00:00:00,10895,11498,1557,568,1490,1112,930,1098,1149,982,1726,1170,652
11,2020-03-13 00:00:00,11019,11205,1488,590,1472,1053,915,1187,1211,964,1751,1174,675
12,2020-03-20 00:00:00,10645,10573,1514,522,1443,1012,947,1115,1043,1008,1657,1156,719
13,2020-03-27 00:00:00,11141,10130,1534,542,1538,982,922,1035,1182,1297,1822,1092,719
14,2020-04-03 00:00:00,,,,,,,,,,,,,
15,2020-04-10 00:00:00,,,,,,,,,,,,,
16,2020-04-17 00:00:00,,,,,,,,,,,,,
17,2020-04-24 00:00:00,,,,,,,,,,,,,
18,2020-05-01 00:00:00,,,,,,,,,,,,,
19,2020-05-08 00:00:00,,,,,,,,,,,,,
20,2020-05-15 00:00:00,,,,,,,,,,,,,
21,2020-05-22 00:00:00,,,,,,,,,,,,,
22,2020-05-29 00:00:00,,,,,,,,,,,,,
23,2020-06-05 00:00:00,,,,,,,,,,,,,
24,2020-06-12 00:00:00,,,,,,,,,,,,,
25,2020-06-19 00:00:00,,,,,,,,,,,,,
26,2020-06-26 00:00:00,,,,,,,,,,,,,
27,2020-07-03 00:00:00,,,,,,,,,,,,,
28,2020-07-10 00:00:00,,,,,,,,,,,,,
29,2020-07-17 00:00:00,,,,,,,,,,,,,
30,2020-07-24 00:00:00,,,,,,,,,,,,,
31,2020-07-31 00:00:00,,,,,,,,,,,,,
32,2020-08-07 00:00:00,,,,,,,,,,,,,
33,2020-08-14 00:00:00,,,,,,,,,,,,,
34,2020-08-21 00:00:00,,,,,,,,,,,,,
35,2020-08-28 00:00:00,,,,,,,,,,,,,
36,2020-09-04 00:00:00,,,,,,,,,,,,,
37,2020-09-11 00:00:00,,,,,,,,,,,,,
38,2020-09-18 00:00:00,,,,,,,,,,,,,
39,2020-09-25 00:00:00,,,,,,,,,,,,,
40,2020-10-02 00:00:00,,,,,,,,,,,,,
41,2020-10-09 00:00:00,,,,,,,,,,,,,
42,2020-10-16 00:00:00,,,,,,,,,,,,,
43,2020-10-23 00:00:00,,,,,,,,,,,,,
44,2020-10-30 00:00:00,,,,,,,,,,,,,
45,2020-11-06 00:00:00,,,,,,,,,,,,,
46,2020-11-13 00:00:00,,,,,,,,,,,,,
47,2020-11-20 00:00:00,,,,,,,,,,,,,
48,2020-11-27 00:00:00,,,,,,,,,,,,,
49,2020-12-04 00:00:00,,,,,,,,,,,,,
50,2020-12-11 00:00:00,,,,,,,,,,,,,
51,2020-12-18 00:00:00,,,,,,,,,,,,,
52,2020-12-25 00:00:00,,,,,,,,,,,,,
53,2021-01-01 00:00:00,,,,,,,,,,,,,
