week,week_ended,covid_deaths,north_east,north_west,yorkshire_and_the_humber,east_midlands,west_midlands,east,london,south_east,south_west,wales
1,2020-01-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0
2,2020-01-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0
3,2020-01-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0
4,2020-01-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0
5,2020-01-31 00:00:00,0,0,0,0,0,0,0,0,0,0,0
6,2020-02-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0
7,2020-02-14 00:00:00,0,0,0,0,0,0,0,0,0,0,0
8,2020-02-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0
9,2020-02-28 00:00:00,0,0,0,0,0,0,0,0,0,0,0
10,2020-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0
11,2020-03-13 00:00:00,5,0,1,0,0,2,0,0,2,0,0
12,2020-03-20 00:00:00,103,1,12,5,3,14,3,44,17,1,2
13,2020-03-27 00:00:00,539,15,60,12,24,67,12,237,69,19,21
14,2020-04-03 00:00:00,3475,134,418,174,185,400,283,1170,411,155,134
15,2020-04-10 00:00:00,,,,,,,,,,,
16,2020-04-17 00:00:00,,,,,,,,,,,
17,2020-04-24 00:00:00,,,,,,,,,,,
18,2020-05-01 00:00:00,,,,,,,,,,,
19,2020-05-08 00:00:00,,,,,,,,,,,
20,2020-05-15 00:00:00,,,,,,,,,,,
21,2020-05-22 00:00:00,,,,,,,,,,,
22,2020-05-29 00:00:00,,,,,,,,,,,
23,2020-06-05 00:00:00,,,,,,,,,,,
24,2020-06-12 00:00:00,,,,,,,,,,,
25,2020-06-19 00:00:00,,,,,,,,,,,
26,2020-06-26 00:00:00,,,,,,,,,,,
27,2020-07-03 00:00:00,,,,,,,,,,,
28,2020-07-10 00:00:00,,,,,,,,,,,
29,2020-07-17 00:00:00,,,,,,,,,,,
30,2020-07-24 00:00:00,,,,,,,,,,,
31,2020-07-31 00:00:00,,,,,,,,,,,
32,2020-08-07 00:00:00,,,,,,,,,,,
33,2020-08-14 00:00:00,,,,,,,,,,,
34,2020-08-21 00:00:00,,,,,,,,,,,
35,2020-08-28 00:00:00,,,,,,,,,,,
36,2020-09-04 00:00:00,,,,,,,,,,,
37,2020-09-11 00:00:00,,,,,,,,,,,
38,2020-09-18 00:00:00,,,,,,,,,,,
39,2020-09-25 00:00:00,,,,,,,,,,,
40,2020-10-02 00:00:00,,,,,,,,,,,
41,2020-10-09 00:00:00,,,,,,,,,,,
42,2020-10-16 00:00:00,,,,,,,,,,,
43,2020-10-23 00:00:00,,,,,,,,,,,
44,2020-10-30 00:00:00,,,,,,,,,,,
45,2020-11-06 00:00:00,,,,,,,,,,,
46,2020-11-13 00:00:00,,,,,,,,,,,
47,2020-11-20 00:00:00,,,,,,,,,,,
48,2020-11-27 00:00:00,,,,,,,,,,,
49,2020-12-04 00:00:00,,,,,,,,,,,
50,2020-12-11 00:00:00,,,,,,,,,,,
51,2020-12-18 00:00:00,,,,,,,,,,,
52,2020-12-25 00:00:00,,,,,,,,,,,
53,2021-01-01 00:00:00,,,,,,,,,,,
