Data as of,Group,State,Indicator,Start week,End week,All COVID-19 Deaths (U07.1),Deaths from All Causes,Percent of Expected Deaths,All Pneumonia Deaths (J12.0-J18.9),Deaths with Pneumonia and COVID-19 (J12.0-J18.9 and U07.1),All Influenza Deaths (J09-J11),"Pneumonia, Influenza, and COVID-19 Deaths",Footnote
04/27/2020,By week,United States,Total Deaths,02/01/2020,04/25/2020,"27,674","673,580",0.91,"57,480","12,398","5,668","77,695",
04/27/2020,By week,United States,Weekending,02/01/2020,02/01/2020,0,"57,165",0.96,"3,681",0,467,"4,148",
04/27/2020,By week,United States,Weekending,02/08/2020,02/08/2020,0,"57,301",0.96,"3,646",0,491,"4,137",
04/27/2020,By week,United States,Weekending,02/15/2020,02/15/2020,0,"56,523",0.96,"3,670",0,511,"4,181",
04/27/2020,By week,United States,Weekending,02/22/2020,02/22/2020,0,"56,295",0.97,"3,530",0,530,"4,060",
04/27/2020,By week,United States,Weekending,02/29/2020,02/29/2020,5,"55,999",0.98,"3,565",3,604,"4,171",
04/27/2020,By week,United States,Weekending,03/07/2020,03/07/2020,25,"55,562",0.96,"3,681",14,580,"4,271",
04/27/2020,By week,United States,Weekending,03/14/2020,03/14/2020,49,"53,606",0.94,"3,651",25,570,"4,244",
04/27/2020,By week,United States,Weekending,03/21/2020,03/21/2020,478,"53,553",0.94,"4,106",223,490,"4,845",
04/27/2020,By week,United States,Weekending,03/28/2020,03/28/2020,"2,596","56,567",1.01,"5,518","1,198",395,"7,266",
04/27/2020,By week,United States,Weekending,04/04/2020,04/04/2020,"7,586","62,131",1.11,"8,371","3,669",417,"12,498",
04/27/2020,By week,United States,Weekending,04/11/2020,04/11/2020,"10,610","60,783",1.1,"8,659","4,678",406,"14,690",
04/27/2020,By week,United States,Weekending,04/18/2020,04/18/2020,"5,864","40,060",0.74,"4,730","2,380",190,"8,254",
04/27/2020,By week,United States,Weekending,04/25/2020,04/25/2020,461,"8,035",0.15,672,208,17,930,
04/27/2020,By age,United States,All ages,02/01/2020,04/25/2020,"27,674","673,580",0.91,"57,480","12,398","5,668",,
04/27/2020,By age,United States,Under 1 year,02/01/2020,04/25/2020,0,"3,489",0.91,32,0,11,,
04/27/2020,By age,United States,1–4 years,02/01/2020,04/25/2020,2,686,0.91,32,2,28,,
04/27/2020,By age,United States,5–14 years,02/01/2020,04/25/2020,1,"1,002",0.91,35,0,39,,
04/27/2020,By age,United States,15–24 years,02/01/2020,04/25/2020,28,"5,978",0.91,123,13,40,,
04/27/2020,By age,United States,25–34 years,02/01/2020,04/25/2020,220,"12,659",0.91,412,93,126,,
04/27/2020,By age,United States,35–44 years,02/01/2020,04/25/2020,530,"18,256",0.91,912,206,203,,
04/27/2020,By age,United States,45–54 years,02/01/2020,04/25/2020,"1,484","35,433",0.91,"2,395",614,490,,
04/27/2020,By age,United States,55–64 years,02/01/2020,04/25/2020,"3,537","85,259",0.91,"6,944","1,536","1,048",,
04/27/2020,By age,United States,65–74 years,02/01/2020,04/25/2020,"6,077","132,608",0.91,"11,951","2,666","1,241",,
04/27/2020,By age,United States,75–84 years,02/01/2020,04/25/2020,"7,585","166,687",0.91,"15,897","3,512","1,259",,
04/27/2020,By age,United States,85 years and over,02/01/2020,04/25/2020,"8,210","211,523",0.91,"18,747","3,756","1,183",,
04/27/2020,By state,United States,Total US,02/01/2020,04/25/2020,"27,674","673,580",0.91,"57,480","12,398","5,668",,
04/27/2020,By state,Alabama,Alabama,02/01/2020,04/25/2020,127,"11,783",0.87,735,38,82,,
04/27/2020,By state,Alaska,Alaska,02/01/2020,04/25/2020,,789,0.73,37,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2020,By state,Arizona,Arizona,02/01/2020,04/25/2020,193,"14,940",0.95,"1,063",101,104,,
04/27/2020,By state,Arkansas,Arkansas,02/01/2020,04/25/2020,19,"7,514",0.91,500,,67,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2020,By state,California,California,02/01/2020,04/25/2020,820,"65,913",0.93,"5,519",456,543,,
04/27/2020,By state,Colorado,Colorado,02/01/2020,04/25/2020,392,"10,114",0.98,849,243,90,,
04/27/2020,By state,Connecticut,Connecticut,02/01/2020,04/25/2020,,461,0.06,29,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2020,By state,Delaware,Delaware,02/01/2020,04/25/2020,28,"1,958",0.81,109,14,14,,
04/27/2020,By state,District of Columbia,District of Columbia,02/01/2020,04/25/2020,48,"1,369",0.87,153,48,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2020,By state,Florida,Florida,02/01/2020,04/25/2020,677,"51,716",0.94,"3,700",371,277,,
04/27/2020,By state,Georgia,Georgia,02/01/2020,04/25/2020,382,"18,624",0.85,"1,208",184,91,,
04/27/2020,By state,Hawaii,Hawaii,02/01/2020,04/25/2020,,"2,662",0.89,182,,18,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2020,By state,Idaho,Idaho,02/01/2020,04/25/2020,41,"3,448",0.93,190,12,24,,
04/27/2020,By state,Illinois,Illinois,02/01/2020,04/25/2020,974,"27,879",1.01,"2,483",555,169,,
04/27/2020,By state,Indiana,Indiana,02/01/2020,04/25/2020,239,"15,398",0.89,"1,307",133,118,,
04/27/2020,By state,Iowa,Iowa,02/01/2020,04/25/2020,68,"7,125",0.9,504,16,80,,
